Content,Source,label
"On 1 July, Airbus will add two new models to its range when it takes a majority stake in the ­Bombardier CSeries programme.

After years of uncertainty amid Bombardier’s cash constraints, the move will shore up the twinjet family’s finances, as well as adding significant firepower to the sales effort and potentially cutting unit costs.

However, these changes can only do so much to stimulate demand.

Back in 2008 when it launched the Pratt & Whitney PW1500G-powered CS100 and CS300, Bombardier forecast 20-year sales of 6,300 units in the 100-150-seat space. But over the following decade, just 805 deliveries were made into the segment by four airframers.

Nonetheless, Bombardier’s latest 20-year forecast puts demand at an increased 6,800 units.

Nobody disputes that the CSeries pair are excellent aircraft, featuring a host of technological innovations.

However, the type has only sold in limited numbers: Bombardier had accumulated 402 firm orders at the last count, with the majority being for the larger CS300. For that matter, Airbus has sold just 54 units of the competing A319neo.

Together, the partners should be able to take the order total significantly higher than it is at present. But to meet their lofty sales goals, they must breathe life into a space that has so far shown only modest growth.",Flight Global,0
"Rolls-Royce remains confident that the blade durability problems affecting its Trent 1000 engine will not be replicated in its Trent XWB or Trent 7000 powerplants.

The Trent XWB is fitted to the Airbus A350 family while the Trent 7000 has been developed for the A330neo.

Chief executive Warren East expressed caution during an investor briefing on 15 June, admitting that ruling out the possibility of occurrence on the XWB before some 20-30 engines had entered their first shop visit would be ""foolhardy"".

But he stresses that there is ""no evidence"" of similar turbine issues affecting the XWB, pointing out that a different ""design flow"" and more modern tools were used during its development.

The A350 fleet is expanding – a total of 174 had been delivered by the beginning of June – and East says that more inspections of XWBs were being carried out.

But he is confident that the manufacturer is ""not seeing"" early signs of the problems afflicting the Trent 1000.

Rolls-Royce is also optimistic that the Trent 7000, which is derived from the Trent 1000, will be similarly unaffected.

East says that the company is ""not seeing a potential"" for the same issues to arise on the Trent 7000, but will be ""making very certain"" that any improvements to the Trent 1000 are incorporated into the A330neo's engine.

TAP Portugal is set to be the first carrier to operate the A330neo. East puts the entry into service date ""towards the end"" of the third quarter.

He acknowledges that the A330neo will begin operations before a final fix on the Trent 1000 is available, but says that the volume of Trent 7000 engines produced in the interim will be ""very small"".",Flight Global,0
"Airbus has signed a tentative agreement with Côte d'Ivoire's government to support development of aerospace activities in the African country.

The manufacturer says the memorandum covers the establishment of a ""framework of collaboration"", within which the two sides will ""explore channels of cooperation in developing the aerospace sector in Côte d'Ivoire in various areas"".

Côte d'Ivoire's government views aerospace as a strategic sector for the country's economic development, Airbus notes.

The republic’s vice-president Daniel Kablan Duncan states: ""We are confident that this partnership with Airbus will contribute to Côte d'Ivoire’s economic growth as well as support us build a stronger framework for industrial development.""

Airbus commercial aircraft president Guillaume Faury says the manufacturer will ""work closely with Côte d'Ivoire’s government, share expertise, discuss opportunities and support efforts in building a robust and sustainable aerospace sector"".",Flight Global,0
"‘We’ve got world class technology, but not a world-class business to go alongside it.” After announcing another round of restructuring involving 4,600 job losses, most of them in the UK, Warren East was speaking specifically about his own company. But the still relatively new Rolls-Royce boss might have been referring to post-war Britain in general. Great technology, great talent, not quite so good at the commercial execution.

Together with General Electric and Pratt & Whitney of the US, Rolls-Royce shares a virtual monopoly of the worldwide market in large scale civilian jet engines. It is an extraordinarily privileged position, almost entirely dependent on the unique, British technology and...",Telegraph,0
"When I arrived at Nice airport last Sunday at around 7.15pm, tanned and relaxed after a long weekend on the Côte d’Azur with my boyfriend’s family, I had no idea I would spend the next 24 hours trying to get home – and then be denied compensation.

Maybe I should have had an inkling. My flight was booked with Ryanair, the low-cost carrier that was voted the joint worst airline for passenger satisfaction by Which? readers. The survey took place last autumn, when Ryanair cancelled more than 700,000 bookings because of an ongoing dispute with its pilots.

But none of this was front of mind last Sunday evening – until our scheduled flight time, 9.15pm, came and went, as did the rescheduled slots (which...",Telegraph,0
"France’s strike-prone and ill-equipped air traffic controllers are responsible for a third of all delays in the skies over Europe, a senate report concluded yesterday.

The delays are costing airlines €300 million (£263m) per year it found.

The damning report by the senate’s finance committee came after weeks of delays due to industrial action by Gallic controllers, forcing some planes to skirt the country to shorten flight times.

According to the report, between 2004 and 2016, France’s air traffic controllers were on strike 254 days. That placed them far ahead of second-placed Greece, on only 46 days of stoppages. In third place came Italy 37 with Germany in fourth, according to the report seen by Le Parisien.

""Every day of a strike in France has a much bigger impact on European traffic than (strikes) in other European countries"", the report's author, senator Vincent Capo-Canellas, noted after a six months study of the sector.

The report put the French traffic controllers’ penchant for strikes to the fact that they were quick to down tools both when unhappy with job conditions but also out of support for fellow state sector workers.",Telegraph,0
"Airbus will begin delivery of A350-900s incorporating a ""wing-twist"" aerodynamic improvement in July when it hands over Iberia's first aircraft of the type.

The wing twist was originally introduced on the A350-1000 and will become standard on all A350s.

Iberia is due to receive its first A350-900 next month

Airbus

Another -1000 improvement – the replacement of titanium passenger-door surrounds with carbonfibre – is being incorporated into all A350s from the first ultra-long-range -900ULR (MSN216). This aircraft, which made its first flight on 23 April, also features the wing twist and is due for delivery to launch customer Singapore Airlines in the second half of 2018.

""These are natural evolutions of a product... Continuous improvement is an Airbus tradition,"" says A350 marketing director Francois Obe.

""What we are doing is taking the lessons from the -1000 and reverting them to the -900. Any innovations on the -1000 are reverted to the -900 so we have a true family.""

Obe says the carbonfibre surrounds are lighter and that the change simplifies the production process.

The ULR incorporates a series of changes to provide additional range including increased operating weights and fuel capacity, along with weight savings. The maximum take-off weight rises to 280t (616,700lb) from the previous highest value of 275t. This increases range by around 1,600nm (3,000km) to 9,700nm.

There are no additional fuel tanks, but Obe explains that Airbus is using part of the existing centre tank's ""empty space"" to increase capacity. This enables the ULR's centre-tank capacity to be raised by around 24,000l over the -900's 140,450l to 165,000l.

This is even more than the capacity of the -1000 (158,791l), with Obe explaining that ""there's fuel in the -1000 [centre tank] that we are not using"".",Flight Global,0
"As the worldwide fleet of Boeing 737-200s continues to dwindle, one Canadian operator sees a bright future in the aging twinjet.

Canada's Nolinor Aviation, which operates one of the world's largest 737-200 fleets, is investing C$10 million ($7.6 million) to equip 10 of the 40-year-old aircraft with modern avionics and glass displays.

In doing so, Nolinor seems likely to ensure that at least some 737-200s – a type Boeing first delivered in 1967 – remain flying for decades.

The aircraft's analog indicators and spinning gyroscopes will be replaced by Honeywell and Universal Avionics hardware and systems – a technological refresh enabling Nolinor's 737-200s to fly for another 25 years, the company's maintenance production manager Pierre Dore tells FlightGlobal.

""We are basically ripping the guts out and putting in brand-new, off-the-shelf stuff,"" he says.

Nolinor chose cockpit upgrades over aircraft replacements for a simple reason: 737-200s are approved to operate from gravel runways, Dore says.

""That's why we are still using the old -200s,"" he says. ""Later-generation aircraft are not approved for gravel runway operations.""

Based in Mirabel, near Montreal, Nolinor operates passenger and cargo charters, including flights to Canada's far northern regions for mining companies.

Its fleet includes seven 737-200s, one 737-300, four Convair 580s and Learjets, according to Flight Fleets Analyzer.

A Nolinor Boeing 737-200

Nolinor

Boeing produced about 1,100 Pratt & Whitney JT8D-powered 737-200s until 1988, when it delivered the last of the type.

The fleet has decreased significantly in size since, shrinking to about 900 in-service aircraft in 1998 and 354 in 2008, Flight Fleets Analyzer shows.

The fleet fell by one on 18 May when a 737-200 operated by Mexico City-based charter carrier Global Air, also called Damojh, crashed near Havana.

Today, just 77 737-200s remain active, operated by a hodgepodge of 44 carriers in Africa, Asia-Pacific, Latin America, the Middle East and North America.

Nolinor operates more 737-200s than any other airline – its seven examples account for a whopping 9% of the fleet, data shows.

Though they are between 34 and 44 years old, nearly all Nolinor's 737-200s have logged less than 50,000 cycles, meaning they can operate at least 20,000 more cycles prior to reaching life limits, says Dore.

Nolinor is upgrading the cockpits of the seven aircraft and another three that have not yet joined the fleet, he says. Mid-Canada Mod Center in Mississauga is performing the work.

One aircraft – registration C-GTUK– has already received its makeover, and a second aircraft will enter the shop in August, Dore says.

The first aircraft has been operating without issue since 31 May.

""Pilots are loving it,"" Dore says.

The aircraft are being fitted with four Universal Avionics' EFI-890R liquid crystal displays. Those displays link with two Honeywell Laseref V inertial navigation systems and two Universal UNS-1Lw flight management systems, says Nolinor.

The flightdeck of Nolinor 737-200 C-GTUK, the first aircraft to undergo cockpit upgrades

Nolinor

Though other operators have updated 737-200s with electronic flight instrument systems, Nolinor's aircraft are the first to receive Universal EFI-890R displays, Nore says.

The aircraft will also have automatic dependent surveillance-broadcast (out) systems – a requirement for operating in the USA starting in 2020.

In addition, the upgrades will give the 737-200s improved required navigation performance capability, enabling pilots to fly more direct routes, Dore says.

The old avionics, some made by long-defunct systems maker Sperry, are prone to maintenance problems, Dore says. Repairs have been difficult and spare parts have been hard to locate.

The new equipment will improve dispatch reliability and provide pilots with better situational awareness, says Dore, noting that the displays can provide overlays of weather, terrain and other information.

""Instead of troubleshooting steam gauges with hundreds of wires, we [can] hook laptops and chat with the aircraft and see what's wrong,"" he says.",Flight Global,0
"Lufthansa is in takeover discussions with Norwegian Air, raising the prospect it could go head-to-head with the owner of British Airways in a bidding war for the low-cost carrier.

Carsten Spohr, the chief executive of the German airline, said there was “a new wave of consolidation approaching” and Lufthansa was “in contact” with Norwegian.

Shares in debt-laden Norwegian rose about 10pc following Mr Spohr’s comments.

In April British Airways owner IAG acquired a 4.6pc stake in Norwegian and then made two separate takeover approaches, which were rejected. IAG has subsequently sat on the sidelines and chief executive Willie Walsh insisted that he would not make a hostile bid for the Norwegian....",Telegraph,0
"Airbus is working to extract even more range from the A350 family as it prepares to respond to the Qantas ""Project Sunrise"" request for an ultra-long-range aircraft.

""We went on board the [Qantas] 'Sunrise' challenge and are working on it,"" says A350 marketing director says Francois Obe. ""The A350 family of airplanes is really full of potential – more potential.""

Airbus currently has the extended-range A350-900ULR in flight testing for delivery to Singapore Airlines in the second half of 2018. However, Obe declined to comment on whether this platform was the focus of the study or Airbus could adapt the larger -1000 for the Qantas requirement, saying only: ""We are studying the XWB family.""

Qantas is preparing to submit a request for proposals (RFP) from Airbus and Boeing around an ultra-long-haul aircraft under the name Project Sunrise that would allow it to launch nonstop flights from Sydney and Melbourne to London and New York around 2022.

""We're hopeful of having the technical evaluation finished this year, and do an RFP process with both manufacturers at some time in 2019 to place an order for the aircraft for delivery in 2022,"" said Qantas group chief executive Alan Joyce at the recent IATA annual general meeting in Sydney.

Boeing is planning to respond to the Qantas requirement with a higher-performance version of the ultra-long-range 777-8. This aircraft is slightly larger than the A350-900, and is scheduled to enter service in 2022.",Flight Global,0
"Heathrow’s third runway is facing a further disruption after a rival bidder prepared to launch a judicial review citing “serious errors” in the analysis which underpinned the Government’s recent airport expansion decision.

The Heathrow Hub, which is arguing for an extension to the airport’s current runway rather than the building of a new one, has hired a heavyweight City law firm to write to Transport Secretary Chris Grayling warning of mistakes in the Airports National Policy Statement (NPS).

In a letter to Mr Grayling, lawyers from DAC Beachcroft said a recent report by York Aviation consultants – which were engaged by the Government to consider the Heathrow Hub bid – “contains serious factual...",Telegraph,0
"United Airlines expects to introduce its new premium-economy cabin on a Boeing 777-200 by the beginning of July, as it begins retrofitting its widebody fleet with the product.

The aircraft will enter service with 24 Premium Plus seats in a two-four-two configuration, as well as the Chicago-based carrier's Polaris business class product, in ""late June"", United said in a flight attendant newsletter on 13 June. It does not say which routes the aircraft will operate.

United joins its long-haul peers, which all offer a premium economy product, with Premium Plus. The cabin features wider seats with more recline than economy, as well as a dedicated onboard service.

The airline will initially sell and cater Premium Plus as an extra-legroom economy seats, and plans to begin selling it as a dedicated class in the fourth quarter or early 2019, United chief commercial officer Andrew Nocella said in April. The dedicated onboard service will begin in early 2019.

""[Premium Plus] further pushes us down the road as segmentation, particularly with the mid-tier cabin,"" he said at the time. ""We're really confident in its ability to deliver value for the airline.""

United is targeting $1 billion in additional revenue from segmentation, which includes no-frills basic economy fares as well as the new premium-economy cabin, by 2020.

US carriers have long held off on introducing premium economy, instead offering passengers a buy-up to extra-legroom economy seats. American Airlines was the first to offer a dedicated premium-economy product in 2016, followed by Delta Air Lines in 2017.

United initially plans to install Premium Plus on its 767-300ERs, 777-200s and -300ERs, and 787-10s, it said in an employee update earlier this year. It will install 22 of the seats on the 767s, 24 on the 777s and 21 seats on the 787.

The carrier will continue to offer its extra-legroom economy-plus product on board these aircraft.

The second aircraft in United's fleet with premium economy seats will be the 777-300ER, the airline says in the newsletter.

United operates 35 767-300ERs, 74 777-200s and 17 777-300ERs, Flight Fleets Analyzer shows. It has one additional 777-300ER and 14 787-10s on firm order.",Flight Global,0
"FedEx Express will buy 24 new widebody freighters – 12 767-300ERFs and 777Fs each – as continued growth in the freight market fuels a fleet replacement cycle, the cargo carrier and Boeing announced on 19 June.

The orders will be added to Boeing’s backlog once a set of unspecified contingencies are met, Boeing says.

The commitments would add to the Memphis-based carrier’s backlog that now includes 58 767 Freighters and five 777Fs, according to Flight Fleets Analyzer.

FedEx Express now operates 58 767-300ERFs and 35 777Fs, the Analyzer shows.

The orders are valued at $6.6 billion at list price.

The new airplanes, valued at $6.6 billion at list prices, will appear on Boeing's orders and deliveries webpage once contingencies have been met.

Air cargo traffic jumped by 10% last year and is expected to grow by 4-5% in 2018, Boeing says.

Including the FedEx Express deal, Boeing has signed orders for than 50 widebody freighters since 1 January.

“This repeat order is a big vote of confidence in Boeing's market-leading freighter family and the long-term outlook for air freight,” says Kevin McAllister, president and chief executive officer, Boeing Commercial Airplanes.

The deal also helps Boeing keep production stable on the 777 line. As of 31 May, Boeing’s backlog for the current generation of the 777 stood at 88 aircraft. A confirmed deal with FedEx Express would raise that total to 100, which is equivalent to 20 months of production at the current rate.

Boeing also plans to start delivering the first member of the re-engined and re-winged 777X family in 2020.",Flight Global,0
"Airbus's third test-flight A330-900, carrying the colours of launch operator TAP Portugal, has landed in Lisbon after commencing the initial stage of route-proving flights.

For the first state of route-proving, MSN1819 is set to fly on to Brazil, visiting cities including Recife, Sao Paulo, Rio de Janeiro and Miami.

The Rolls-Royce Trent 7000-powered aircraft took off on 19 June from Toulouse's runway 32R – using a full-thrust departure, rather than a flex setting, on the request of flight-test engineers – for a 1h 30min flight to the Portuguese capital.

MSN1819 had pushed back with just under 20t of fuel, and a weight of 164t, with a projected landing weight of 156.8t. The crew confirmed, after touchdown on Lisbon's on runway 21, that the twinjet had burned 8t of fuel.

The 298-seat aircraft – featuring the airframer's three-class revamped 'Airspace' cabin interior, fitted with Recaro seating – was transporting board members from the carrier and the airframer, as well as government figures and media representatives, FlightGlobal among them.

Route-proving will subsequently take the aircraft to Asia, with stops in Kuala Lumpur and other regional hubs, before it returns to Europe via Mauritius. It also fly to Delhi before heading west again, operating through Reykjavik, Chicago and Atlanta.

The exercise is intended to demonstrate the A330neo's readiness for airline service.

As part of the testing the aircraft will undertake extended twin-engined operations flights, approaches to alternate airports, and tests with ground-handling systems.

Airbus head of A330 marketing Crawford Hamilton, speaking during the event, said the route-proving effort would involve about 150h of flights, spanning 18 days, and taking in 16 cities. The exercise is set to run to 7 July.

Hamilton says the A330neo test-flight campaign, which involves three aircraft including MSN1819, is around 80% complete. The fleet has logged around 1,000h in 267 flights.

Performance is ""in line with predictions"", he adds.

Certification is still on track for summer this year, with subsequent entry into service with TAP.",Flight Global,0
"GE Aviation was unable to identify the cause of a disk web crack that caused a GE90-powered British Airways 777-200 to fail during a takeoff roll on a Las Vegas airport runway nearly three years ago, the US National Transportation Safety Board (NTSB) says.

Although the NTSB’s 33-month investigation did not identify a root cause for the engine failure, the board’s investigators raised questions about the checklist and steps taken by the crew that may have delayed the evacuation and worsened the fire on the runway.

One crew member suffered a serious injury and 19 passengers reported minor injuries during the 9 September 2015 incident, which involved British Airways flight 66 from Las Vegas to London.

The disk web stage 8-10 inside the high pressure compressor exploded as the aircraft accelerated to take-off. The crew commanded a rejected takeoff procedure within 2s of the engine failure, causing the aircraft to slow to a stop from 77kt within 13s.

An extensive metallurgical examination of the failed component revealed evidence of a sustained-peak low-cycle fatigue crack in the stage 8-10 disk web, but could not determine a root cause, the NTSB says.

The first signs of the crack should have been detectable during a maintenance check in 2008, but there was no requirement to inspect the disk web, the NTSB says. GE now has procedures to check for disk web cracks during routine maintenance, the agency adds.

Boeing told the NTSB that an estimated 436l (97gal) of jet fuel spilled onto the runway at Las Vegas McCarran International Airport. The spill occurred during the 28s between the engine failure and the moment that the crew shut off the fuel valve to the engine, the NTSB says.

The captain called for the engine fire checklist twice before starting the procedure, according to the NTSB’s review of the cockpit voice recorder. About 13s elapsed between the captain’s second call for the checklist and the closure of the fuel valve.

“British Airways' engine fire checklist, which was based on the Boeing 777 engine fire checklist, did not differentiate between an engine fire occurring on the ground or during flight,” the NTSB says.

“The third step of the checklist instructed the flight crew to cut off the fuel control switch on the affected side to shut down that engine,” the agency adds. “However, for an engine fire on the ground, the checklist did not include a step to shut down the unaffected engine or indicate that some steps did not apply.”",Flight Global,1
"Airbus's route-proving network for the A330neo might indicate particular marketing targets for the airframer as it attempts to generate further interest in the re-engined twinjet.

Several points on the three-week route-proving tour are clearly intended to cover stations of major customers.

These include Kuala Lumpur, Jakarta, Reykjavik and Atlanta, respectively hubs for AirAsia X, Garuda Indonesia, Wow Air and Delta Air Lines.

But the inclusion of Hong Kong, Manila and Bangkok on the Asian route-proving exercise could signal additional marketing efforts.

Hong Kong's Cathay Dragon operates some of the oldest A330-300s still in service, including aircraft over 25 years of age.

Manila is a base for Philippine Airlines and Cebu Pacific. Philippine Airlines is preparing to receive its first A350, set to replace A340s, but the carrier is also an A330 operator, as is Cebu Pacific which uses its A330s in a high-density configuration.

Thai Airways is an A350 and A330 operator but Bangkok is also the base for NokScoot, which has considered the A330neo as a potential successor to its Boeing 777-200ERs.

Airbus declines to comment on specific customer discussions.

But Airbus head of A330 marketing Crawford Hamilton, speaking in Toulouse as the A330neo embarked on its route-proving flights, pointed out that older 777-200ERs, as well as 767s, were among the types Airbus views as targets for replacement with A330neos.

Hamilton says the A330 had a ""bit of weird delivery profile"", with relatively few aircraft delivered over the first few years after its introduction.

But the A330neo will enter service just as A330s begin to reach around 20 years of age, with large numbers reaching this threshold from 2019 onwards.

Airbus has 214 A330-900s on order including four assigned to an unidentified customer.",Flight Global,0
"David Griffin, senior valuations analyst at Flight Ascend Consultancy, here examines the rising costs of engine maintenance, the relationship of engine values to overall aircraft values, and implications for the future

Sign in/Register here

Registration gives you instant free access to FlightGlobal’s news, in-depth analysis, insight and opinion from our global team of experts, and access to our Flight International and Flight Airline Business online libraries.



You’ll only need to log in once to access FlightGlobal’s premium free content.



Already Registered? Sign in

Activate your free account",Flight Global,1
"Airbus does not foresee a need for a further hike to the maximum take-off weight of the A330neo, following its decision to lift the threshold to 251t.

Its A330neo is currently based on a 242t MTOW airframe introduced in 2015, and the A330-900 has a range of 6,550nm.

Airbus has gradually lifted the MTOW of the A330 since the -300 entered service in 1994 at 212t.

The airframer expects to put the higher-weight version of the A330neo into service in mid-2020, lifting the A330-900's range to 7,200nm.

A330neo programme manager Odile Jubecourt, speaking to FlightGlobal in Toulouse ahead of a route-proving flight to Lisbon, said she did not expect the type to require a further MTOW increase.

""I don't think there is a need to do it,"" she says, adding that, in terms of range, the aircraft already has a ""huge capability"".

But she also points out that the ultimate decision will depend on market demands, and states: ""It will always be in our DNA to look for incremental improvements.""

Jubecourt had previously described the 251t figure as a ""best compromise"" for the A330neo, which is powered by Rolls-Royce Trent 7000 engines.

She also stresses that A330neo testing has not revealed any evidence of problems with the powerplant, despite its design being derived from the Boeing 787's Trent 1000, currently the subject of extensive scrutiny over blade durability.

Jubecourt insists the Trent 7000 is ""different"" powerplant. ""We're very confident about the engines,"" she says, but adds that the company is still co-operating closely with Rolls-Royce given the Trent 1000 situation.

Route-proving is part of the final stages of certification for the A330-900, which is set to enter service with TAP Portugal this summer.

Airbus also intends to start flight-testing the smaller A330-800 this year, says Jubecourt, which will also be offered as a 251t aircraft with a range of 8,150nm.",Flight Global,0
"Pratt & Whitney expects to have rectified issues with the knife edge seals on the in-service fleet of PW1100G geared turbofan engines by the middle of 2019.

In an email to FlightGlobal, P&W's president commercial engines, Chris Calio admits that while it has caught up on replacing faulty seals on new engines, it will still take time for redesigned seals to be fitted to those engines already in service.

""Naturally, there are engines that are flying today which will require time off-wing to install the fixes, so we will continue to witness removal events for these engines. We anticipate resolving these engine removals by mid-2019,"" says Calio.

A new knife edge seal issue was discovered in January after four Airbus A320neos experienced engine shutdowns on take-off or during flight. P&W chief executive Bob Leduc previously said the engine’s original knife edge seal was delivered with a design flaw that required an inspection after a certain interval of flight hours.

A redesigned seal was introduced into the production system late last year, but made the problem worse. Instead of merely an inspection requirement, the new seal caused the engine to shut down.

P&W has since resumed shipments of PW1100Gs to Airbus with a previous design of a knife edge seal that does not have the flaw.

""While admittedly, the issues we have had did cause a delay in deliveries from Airbus, we are now back on track on our deliveries of the GTF engines, and will continue to ramp up in our deliveries commitments,"" adds Calio.

P&W says that it is also ""applying lessons learned in-service"" from the PW1100G-JM and PW1500G engines to the PW1200G that powers the Mitusbishi Aircraft MRJ regional jet.

&W did not specify the cause of the incident. ""We’re able to weave improvements into the still-nascent MRJ production line, and there are development plans in-place to ensure root causes are addressed in the PW1200G programme. The ability to rapidly learn and accelerate improvements across the GTF engine family is a significant advantage,"" explains Calio. The engine manufacturer adds that it is still in discussions with Boeing to explore how best it is able to meet the airframer's specificification and production timelines for its New Mid-market Aircraft (NMA). Calio says that its GTF architecture is scalable “to meet existing and potential customer demands, including but not limited to Boeing’s New Mid-market Airplane.”

Mitsubishi temporarily grounded its MRJ regional jet flight test fleet last year, following an engine flameout on one of its test prototypes on 21 August. While testing resumed in September, P",Flight Global,1
"Aerospace company Airbus is heaping pressure on the UK Government to reach an agreement on post-Brexit trade with the EU, by threatening to withdraw investment from Britain if it fails to reach a deal.

Airbus has four major engineering and manufacturing facilities in the UK and 21 smaller sites, and employs 14,000 staff in Britain. Its Broughton and Filton factories produce the wings and landing gear for its commercial aircraft, while its centre in Stevenage is considered a pioneer in space technology. More than 10,000 of Airbus’s aircraft parts originate in the UK.

The pan-European planemaker, which has more than 4,000 suppliers in UK, says it supports 110,000 jobs in the British supply chain....",Telegraph,0
